business_name,category,2005-04-01,2005-07-01,2005-10-01,2006-01-01,2006-04-01,2006-07-01,2006-10-01,2007-01-01,2007-04-01,2007-07-01,2007-10-01,2008-01-01,2008-04-01,2008-07-01,2008-10-01,2009-01-01,2009-04-01,2009-07-01,2009-10-01,2010-01-01,2010-04-01,2010-07-01,2010-10-01,2011-01-01,2011-04-01,2011-07-01,2011-10-01,2012-01-01,2012-04-01,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-01,2017-04-01,2017-07-01
Jamms Restaurant,American (Traditional),,,,,,,,,,,3.0,4.5,4.5,,,5.0,4.5,4.0,3.299999952316284,4.0,,4.300000190734863,3.9000000953674316,3.4000000953674316,4.0,4.300000190734863,3.799999952316284,4.199999809265137,3.5999999046325684,4.0,4.400000095367432,3.799999952316284,4.0,4.199999809265137,4.400000095367432,3.9000000953674316,4.0,3.700000047683716,4.199999809265137,4.0,4.099999904632568,4.300000190734863,4.300000190734863,4.199999809265137,4.199999809265137,4.599999904632568,4.400000095367432,4.699999809265137,4.5,4.900000095367432
Heart Attack Grill,American (Traditional),,,,,,,,,,,,,,,,,,,,,,,,,,,2.299999952316284,2.9000000953674316,2.5,3.200000047683716,2.299999952316284,2.299999952316284,2.9000000953674316,3.200000047683716,2.799999952316284,3.0,2.799999952316284,2.799999952316284,3.0,2.700000047683716,3.200000047683716,3.5,3.5999999046325684,3.0999999046325684,3.0999999046325684,3.5999999046325684,2.700000047683716,3.5,3.200000047683716,3.299999952316284
Carnegie,American (Traditional),,,,,,5.0,5.0,3.799999952316284,2.5999999046325684,2.5999999046325684,4.0,3.0999999046325684,3.299999952316284,3.5,3.0,3.0999999046325684,3.4000000953674316,3.200000047683716,3.0999999046325684,3.0999999046325684,3.299999952316284,3.299999952316284,3.200000047683716,3.0,3.200000047683716,3.299999952316284,4.0,3.5999999046325684,3.0,3.0999999046325684,2.700000047683716,3.299999952316284,3.0999999046325684,3.299999952316284,3.299999952316284,3.0999999046325684,3.299999952316284,3.0999999046325684,2.799999952316284,2.700000047683716,2.9000000953674316,2.9000000953674316,3.0999999046325684,2.5,3.4000000953674316,3.0999999046325684,3.299999952316284,2.9000000953674316,3.5999999046325684,3.0
Gordon Ramsay BurGR,American (Traditional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.299999952316284,3.700000047683716,3.799999952316284,3.799999952316284,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,4.0,4.0,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.799999952316284,4.099999904632568,3.9000000953674316,
Egg Works,American (Traditional),,,,,,,,,,,,,,,,4.0,,4.0,2.5,5.0,4.199999809265137,4.0,4.199999809265137,4.199999809265137,4.199999809265137,4.300000190734863,4.300000071525574,4.0,3.600000023841858,3.299999952316284,3.600000023841858,3.8000000715255737,3.799999952316284,4.25,3.600000023841858,4.549999952316284,4.450000047683716,4.450000047683716,4.700000047683716,4.450000047683716,4.3500001430511475,4.400000095367432,4.549999952316284,4.650000095367432,4.549999952316284,4.299999952316284,4.049999952316284,3.7499998807907104,4.3999998569488525,4.3999998569488525
Top of the World,American (Traditional),,,,,,,5.0,4.0,4.199999809265137,4.199999809265137,3.5999999046325684,4.199999809265137,3.0999999046325684,4.300000190734863,4.199999809265137,3.5999999046325684,3.5,4.0,4.099999904632568,3.5,4.0,4.0,3.5999999046325684,4.099999904632568,3.700000047683716,3.799999952316284,3.799999952316284,3.9000000953674316,4.099999904632568,3.9000000953674316,3.5999999046325684,3.799999952316284,3.5999999046325684,3.5999999046325684,3.700000047683716,3.5999999046325684,3.700000047683716,3.799999952316284,3.799999952316284,4.0,4.300000190734863,3.700000047683716,3.799999952316284,3.799999952316284,3.9000000953674316,4.0,3.700000047683716,3.9000000953674316,3.5999999046325684,3.799999952316284
Mr. Lucky's 24-7,American (Traditional),,,4.0,2.5,3.5,,3.0,3.5,3.0,4.0,3.0,4.300000190734863,3.4000000953674316,2.700000047683716,4.0,4.0,3.799999952316284,3.0999999046325684,3.4000000953674316,3.200000047683716,3.4000000953674316,3.299999952316284,3.5,3.4000000953674316,3.200000047683716,3.799999952316284,4.0,3.299999952316284,3.5,3.0,3.5,2.4000000953674316,3.0999999046325684,2.799999952316284,3.0,2.5999999046325684,2.9000000953674316,3.5,3.200000047683716,3.5999999046325684,2.9000000953674316,3.299999952316284,3.4000000953674316,3.200000047683716,3.4000000953674316,3.0,3.200000047683716,4.199999809265137,3.5999999046325684,3.0999999046325684
Cravings Buffet,American (Traditional),,,,,,5.0,5.0,4.400000095367432,2.700000047683716,4.0,3.200000047683716,3.299999952316284,3.700000047683716,3.700000047683716,3.200000047683716,3.299999952316284,3.0,3.9000000953674316,2.9000000953674316,3.5,3.700000047683716,3.0999999046325684,3.200000047683716,3.200000047683716,3.200000047683716,3.299999952316284,3.0,3.299999952316284,3.0,3.299999952316284,3.0999999046325684,2.5999999046325684,3.200000047683716,3.200000047683716,3.200000047683716,3.9000000953674316,3.5,3.4000000953674316,3.4000000953674316,3.299999952316284,3.299999952316284,3.299999952316284,3.0999999046325684,3.200000047683716,3.0999999046325684,2.299999952316284,2.4000000953674316,2.799999952316284,2.5999999046325684,2.4000000953674316
Guy Fieri's Vegas Kitchen & Bar,American (Traditional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9000000953674316,3.700000047683716,3.799999952316284,3.200000047683716,3.299999952316284,3.4000000953674316,3.5,3.200000047683716,3.299999952316284,3.4000000953674316,3.299999952316284,3.4000000953674316,3.4000000953674316,3.200000047683716
Ellis Island Casino & Brewery,American (Traditional),,,,4.0,5.0,,5.0,4.699999809265137,4.699999809265137,4.300000190734863,3.5999999046325684,3.799999952316284,4.0,4.099999904632568,3.700000047683716,4.300000190734863,3.9000000953674316,3.700000047683716,3.9000000953674316,4.199999809265137,4.099999904632568,3.700000047683716,3.799999952316284,3.799999952316284,3.799999952316284,3.9000000953674316,3.700000047683716,4.099999904632568,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.700000047683716,3.799999952316284,3.700000047683716,3.9000000953674316,3.9000000953674316,4.199999809265137,3.9000000953674316,4.099999904632568,3.9000000953674316,3.799999952316284,3.799999952316284,3.5999999046325684,3.9000000953674316,3.799999952316284,3.799999952316284,3.700000047683716,4.300000190734863,3.799999952316284,3.5
Egg & I,American (Traditional),,5.0,,,,5.0,5.0,5.0,4.5,4.0,4.0,4.0,5.0,4.400000095367432,4.300000190734863,4.099999904632568,3.9000000953674316,3.9000000953674316,4.0,4.0,4.400000095367432,4.099999904632568,4.199999809265137,4.599999904632568,4.300000190734863,4.199999809265137,3.799999952316284,4.199999809265137,4.199999809265137,4.199999809265137,4.300000190734863,4.099999904632568,4.400000095367432,4.0,4.300000190734863,4.400000095367432,4.5,4.400000095367432,4.300000190734863,4.400000095367432,4.5,4.599999904632568,4.5,4.400000095367432,4.599999904632568,4.599999904632568,4.599999904632568,4.599999904632568,4.5,4.699999809265137
Burger Bar,American (Traditional),4.0,,4.0,4.300000190734863,4.5,4.699999809265137,4.199999809265137,3.799999952316284,4.199999809265137,4.400000095367432,3.5999999046325684,4.099999904632568,3.799999952316284,3.799999952316284,4.199999809265137,4.0,4.099999904632568,3.9000000953674316,3.799999952316284,4.0,3.799999952316284,4.0,3.9000000953674316,3.799999952316284,3.9000000953674316,3.799999952316284,3.799999952316284,3.700000047683716,3.9000000953674316,4.0,3.799999952316284,3.799999952316284,3.9000000953674316,3.5,3.5999999046325684,3.799999952316284,4.0,3.5999999046325684,3.700000047683716,3.799999952316284,4.199999809265137,3.700000047683716,3.799999952316284,3.799999952316284,3.799999952316284,3.5999999046325684,3.5999999046325684,3.9000000953674316,3.9000000953674316,3.0999999046325684
Holsteins Shakes and Buns,American (Traditional),,,,,,,,,,,,,,,,,,,,,,,3.5,3.799999952316284,4.0,3.700000047683716,3.799999952316284,3.9000000953674316,3.799999952316284,3.799999952316284,4.0,3.799999952316284,3.799999952316284,3.799999952316284,3.700000047683716,4.0,3.700000047683716,3.799999952316284,3.799999952316284,3.799999952316284,3.9000000953674316,4.0,3.799999952316284,4.0,4.0,4.0,3.9000000953674316,4.199999809265137,3.9000000953674316,4.099999904632568
