business_name,category,r_count,quarter,rating
Juan's Flaming Fajitas & Cantina,Mexican,33,2017-07-01,4.7
Juan's Flaming Fajitas & Cantina,Mexican,36,2013-10-01,4.5
Juan's Flaming Fajitas & Cantina,Mexican,37,2014-07-01,4.3
Juan's Flaming Fajitas & Cantina,Mexican,42,2015-01-01,4.8
Juan's Flaming Fajitas & Cantina,Mexican,14,2013-01-01,4.7
Juan's Flaming Fajitas & Cantina,Mexican,44,2013-07-01,4.3
Juan's Flaming Fajitas & Cantina,Mexican,58,2015-04-01,4.4
Juan's Flaming Fajitas & Cantina,Mexican,74,2017-01-01,4.7
Juan's Flaming Fajitas & Cantina,Mexican,50,2013-04-01,4.4
Juan's Flaming Fajitas & Cantina,Mexican,45,2014-10-01,4.8
Juan's Flaming Fajitas & Cantina,Mexican,48,2014-04-01,4.2
Juan's Flaming Fajitas & Cantina,Mexican,55,2015-10-01,4.7
Juan's Flaming Fajitas & Cantina,Mexican,85,2017-04-01,4.6
Juan's Flaming Fajitas & Cantina,Mexican,53,2016-10-01,4.8
Juan's Flaming Fajitas & Cantina,Mexican,82,2016-01-01,4.6
Juan's Flaming Fajitas & Cantina,Mexican,89,2016-04-01,4.6
Juan's Flaming Fajitas & Cantina,Mexican,75,2015-07-01,4.4
Juan's Flaming Fajitas & Cantina,Mexican,90,2016-07-01,4.7
Juan's Flaming Fajitas & Cantina,Mexican,52,2014-01-01,4.4
Mastro's Ocean Club,American (Traditional),10,2010-10-01,4.8
Mastro's Ocean Club,American (Traditional),35,2013-04-01,4.5
Mastro's Ocean Club,American (Traditional),39,2012-01-01,4.3
Mastro's Ocean Club,American (Traditional),11,2017-07-01,4.6
Mastro's Ocean Club,American (Traditional),37,2012-10-01,4.4
Mastro's Ocean Club,American (Traditional),44,2015-01-01,4.3
Mastro's Ocean Club,American (Traditional),23,2011-07-01,4.1
Mastro's Ocean Club,American (Traditional),10,2010-01-01,4.7
Mastro's Ocean Club,American (Traditional),38,2016-07-01,4.3
Mastro's Ocean Club,American (Traditional),33,2012-04-01,4.2
Mastro's Ocean Club,American (Traditional),43,2012-07-01,4.7
Mastro's Ocean Club,American (Traditional),22,2011-04-01,4.2
Mastro's Ocean Club,American (Traditional),33,2015-10-01,4.3
Mastro's Ocean Club,American (Traditional),45,2017-04-01,4.2
Mastro's Ocean Club,American (Traditional),55,2014-01-01,4.4
Mastro's Ocean Club,American (Traditional),22,2011-01-01,4
Mastro's Ocean Club,American (Traditional),49,2014-07-01,4.4
Mastro's Ocean Club,American (Traditional),28,2011-10-01,4.3
Mastro's Ocean Club,American (Traditional),38,2016-04-01,4.1
Mastro's Ocean Club,American (Traditional),65,2014-10-01,4.1
Mastro's Ocean Club,American (Traditional),22,2010-07-01,4.1
Mastro's Ocean Club,American (Traditional),59,2014-04-01,4.4
Mastro's Ocean Club,American (Traditional),54,2015-04-01,4.4
Mastro's Ocean Club,American (Traditional),19,2010-04-01,4.4
Mastro's Ocean Club,American (Traditional),50,2016-01-01,4.5
Mastro's Ocean Club,American (Traditional),37,2013-07-01,4.2
Mastro's Ocean Club,American (Traditional),35,2016-10-01,4.3
Mastro's Ocean Club,American (Traditional),56,2015-07-01,4.3
Mastro's Ocean Club,American (Traditional),58,2017-01-01,4.2
Mastro's Ocean Club,American (Traditional),40,2013-01-01,4.5
Mastro's Ocean Club,American (Traditional),58,2013-10-01,4.3
Japanese Curry Zen,Japanese,18,2017-07-01,4.2
Japanese Curry Zen,Japanese,26,2013-04-01,4.3
Japanese Curry Zen,Japanese,47,2014-07-01,4.6
Japanese Curry Zen,Japanese,35,2016-04-01,4.3
Japanese Curry Zen,Japanese,38,2015-01-01,4.7
Japanese Curry Zen,Japanese,20,2013-01-01,4
Japanese Curry Zen,Japanese,45,2012-10-01,4.1
Japanese Curry Zen,Japanese,43,2017-04-01,4.3
Japanese Curry Zen,Japanese,37,2013-07-01,4.5
Japanese Curry Zen,Japanese,31,2014-04-01,4.4
Japanese Curry Zen,Japanese,25,2015-04-01,4.5
Japanese Curry Zen,Japanese,43,2016-10-01,4.2
Japanese Curry Zen,Japanese,54,2014-10-01,4.6
Japanese Curry Zen,Japanese,37,2015-07-01,4.5
Japanese Curry Zen,Japanese,35,2013-10-01,4.4
Japanese Curry Zen,Japanese,38,2017-01-01,4.3
Japanese Curry Zen,Japanese,51,2015-10-01,4.3
Japanese Curry Zen,Japanese,51,2016-07-01,4.6
Japanese Curry Zen,Japanese,34,2014-01-01,4.7
Japanese Curry Zen,Japanese,54,2016-01-01,4.5
Joël  Robuchon,French,5,2006-10-01,5
Joël  Robuchon,French,14,2012-10-01,4.4
Joël  Robuchon,French,2,2006-07-01,4.5
Joël  Robuchon,French,28,2010-10-01,4.4
Joël  Robuchon,French,7,2017-07-01,4.7
Joël  Robuchon,French,5,2008-10-01,4.8
Joël  Robuchon,French,1,2007-01-01,5
Joël  Robuchon,French,3,2007-10-01,5
Joël  Robuchon,French,21,2017-01-01,4.6
Joël  Robuchon,French,5,2009-07-01,4.8
Joël  Robuchon,French,5,2007-07-01,4.2
Joël  Robuchon,French,8,2008-04-01,4.2
Joël  Robuchon,French,25,2015-01-01,4.4
Joël  Robuchon,French,20,2012-07-01,4.3
Joël  Robuchon,French,23,2014-10-01,4.2
Joël  Robuchon,French,26,2013-10-01,4.6
Joël  Robuchon,French,32,2015-04-01,4.3
Joël  Robuchon,French,11,2009-04-01,5
Joël  Robuchon,French,26,2011-04-01,4.5
Joël  Robuchon,French,22,2010-07-01,4.4
Joël  Robuchon,French,28,2012-01-01,4.5
Joël  Robuchon,French,27,2011-01-01,4.3
Joël  Robuchon,French,23,2009-10-01,4.5
Joël  Robuchon,French,24,2011-07-01,4.5
Joël  Robuchon,French,8,2008-07-01,4.4
Joël  Robuchon,French,24,2016-04-01,4.2
Joël  Robuchon,French,18,2012-04-01,4.7
Joël  Robuchon,French,31,2015-10-01,4.2
Joël  Robuchon,French,29,2014-07-01,4.3
Joël  Robuchon,French,15,2016-01-01,4.5
Joël  Robuchon,French,5,2007-04-01,4.6
Joël  Robuchon,French,16,2013-07-01,4.2
Joël  Robuchon,French,12,2016-10-01,4.3
Joël  Robuchon,French,36,2015-07-01,4.4
Joël  Robuchon,French,26,2010-04-01,4.3
Joël  Robuchon,French,28,2014-04-01,4.4
Joël  Robuchon,French,9,2008-01-01,4.8
Joël  Robuchon,French,16,2013-01-01,4.2
Joël  Robuchon,French,40,2014-01-01,4.3
Joël  Robuchon,French,26,2011-10-01,4.5
Joël  Robuchon,French,20,2010-01-01,4.8
Joël  Robuchon,French,25,2016-07-01,4.6
Joël  Robuchon,French,18,2013-04-01,4.4
Joël  Robuchon,French,30,2017-04-01,4
Joël  Robuchon,French,8,2009-01-01,4.6
Egg & I,American (Traditional),1,2007-10-01,4
Egg & I,American (Traditional),1,2006-10-01,5
Egg & I,American (Traditional),2,2007-04-01,4.5
Egg & I,American (Traditional),1,2006-07-01,5
Egg & I,American (Traditional),1,2007-01-01,5
Egg & I,American (Traditional),1,2005-07-01,5
Egg & I,American (Traditional),8,2009-10-01,4
Egg & I,American (Traditional),20,2009-01-01,4.1
Egg & I,American (Traditional),10,2009-07-01,3.9
Egg & I,American (Traditional),5,2008-07-01,4.4
Egg & I,American (Traditional),3,2008-04-01,5
Egg & I,American (Traditional),14,2009-04-01,3.9
Egg & I,American (Traditional),31,2013-01-01,4.1
Egg & I,American (Traditional),10,2008-10-01,4.3
Egg & I,American (Traditional),2,2008-01-01,4
Egg & I,American (Traditional),17,2010-04-01,4.4
Egg & I,American (Traditional),1,2007-07-01,4
Egg & I,American (Traditional),18,2010-07-01,4.1
Egg & I,American (Traditional),39,2012-10-01,4.3
Egg & I,American (Traditional),34,2011-10-01,3.8
Egg & I,American (Traditional),28,2011-01-01,4.6
Egg & I,American (Traditional),39,2011-04-01,4.3
Egg & I,American (Traditional),28,2010-10-01,4.2
Egg & I,American (Traditional),32,2012-01-01,4.2
Egg & I,American (Traditional),51,2013-10-01,4.3
Egg & I,American (Traditional),36,2012-04-01,4.2
Egg & I,American (Traditional),37,2013-07-01,4
Egg & I,American (Traditional),32,2012-07-01,4.2
Egg & I,American (Traditional),45,2017-07-01,4.7
Egg & I,American (Traditional),67,2014-01-01,4.4
Egg & I,American (Traditional),103,2014-07-01,4.4
Egg & I,American (Traditional),72,2014-10-01,4.3
Egg & I,American (Traditional),116,2016-10-01,4.6
Egg & I,American (Traditional),24,2013-04-01,4.4
Egg & I,American (Traditional),132,2016-01-01,4.4
Egg & I,American (Traditional),178,2015-07-01,4.6
Egg & I,American (Traditional),89,2016-07-01,4.6
Egg & I,American (Traditional),39,2011-07-01,4.2
Egg & I,American (Traditional),119,2015-01-01,4.4
