Name,Category,Rating,Confidence
Jamms Restaurant,American (Traditional),4.137837837837838,21.45945945945946
Heart Attack Grill,American (Traditional),2.9791666666666665,33.416666666666664
Estiatorio Milos,Greek,3.9892857142857148,31.357142857142858
Hakkasan Nightclub,Chinese,2.472222222222222,86.0
Carnegie,American (Traditional),3.2488888888888887,18.822222222222223
Sage,Mediterranean,4.153125,30.15625
Ichiza,Japanese,4.135555555555555,30.0
TACOS EL GORDO,Mexican,4.337931034482758,43.62068965517241
Mesa Grill,Mexican,3.9081632653061225,59.3469387755102
Carnevino,Italian,3.530769230769231,31.17948717948718
Monta Ramen,Japanese,4.156666666666665,71.66666666666667
Big Wong Restaurant,Chinese,3.8538461538461535,29.576923076923077
Nobu,Japanese,3.9776119402985066,24.865671641791046
Gordon Ramsay BurGR,American (Traditional),3.8631578947368417,285.8421052631579
Island Sushi & Grill,Japanese,3.9666666666666663,21.205128205128204
Border Grill,Mexican,3.7608695652173907,29.32608695652174
SUSHISAMBA - Las Vegas,Chinese,3.975675675675675,53.2972972972973
Lotus of Siam,Thai,4.151020408163266,78.34693877551021
Egg Works,American (Traditional),4.156896551724138,32.58620689655172
Joël  Robuchon,French,4.484444444444445,18.466666666666665
L'Atelier de Joël Robuchon,French,4.29090909090909,21.136363636363637
MIX,French,3.9243902439024376,23.024390243902438
Bouchon at the Venezia Tower,French,4.014285714285714,70.18367346938776
Top of the World,American (Traditional),3.8659090909090903,25.204545454545453
Javier's,Mexican,3.8199999999999994,47.15
Mr. Lucky's 24-7,American (Traditional),3.3340425531914892,16.382978723404257
Noodles,Chinese,3.2630434782608693,18.76086956521739
Pink Taco,Mexican,3.3510204081632646,18.346938775510203
Battista's Hole In the Wall,Italian,3.4333333333333345,19.955555555555556
Capo's Italian Cuisine,Italian,3.999999999999999,23.634146341463413
LAVO Italian Restaurant & Lounge,Italian,3.5459459459459457,38.4054054054054
Juan's Flaming Fajitas & Cantina,Mexican,4.557894736842105,55.89473684210526
Maggiano's Little Italy,Italian,3.9444444444444455,25.933333333333334
Cravings Buffet,American (Traditional),3.2977777777777773,26.333333333333332
Lemongrass,Thai,3.468749999999999,26.71875
Guy Fieri's Vegas Kitchen & Bar,American (Traditional),3.428571428571428,172.21428571428572
Ellis Island Casino & Brewery,American (Traditional),3.969565217391303,40.28260869565217
Egg & I,American (Traditional),4.369565217391305,50.97826086956522
Pho So 1,Vietnamese,3.409302325581396,19.13953488372093
Sushi Mon,Japanese,3.883720930232559,20.813953488372093
Burger Bar,American (Traditional),3.895918367346939,48.89795918367347
Scarpetta,Italian,4.146428571428571,39.857142857142854
Pho Kim Long,Vietnamese,3.4046511627906972,56.883720930232556
Holsteins Shakes and Buns,American (Traditional),3.867857142857143,93.89285714285714
Rise & Shine - A Steak & Egg Place,American (Traditional),4.060714285714285,38.964285714285715
Eiffel Tower,French,3.9999999999999996,31.977777777777778
Tacos El Gordo,Mexican,4.142307692307692,84.0
Ramen Sora,Japanese,4.152173913043478,47.78260869565217
Mint Indian Bistro,Indian,4.06923076923077,22.743589743589745
Soho Japanese Restaurant,Japanese,4.65,76.6875
DW Bistro,American (Traditional),4.359999999999999,34.2
China Poblano,Chinese,3.2357142857142853,47.107142857142854
The Peppermill Restaurant & Fireside Lounge,American (Traditional),3.993617021276597,53.51063829787234
Fleur by Hubert Keller,French,3.7711111111111113,21.933333333333334
Margaritaville,American (Traditional),3.3260869565217397,27.608695652173914
Spago by Wolfgang Puck,American (Traditional),3.922222222222222,22.355555555555554
Buddy V's Ristorante,American (Traditional),4.025,66.375
Sushi Kaya,Japanese,3.5941176470588236,26.41176470588235
Hooters Casino Hotel,American (Traditional),2.45531914893617,26.893617021276597
Mastro's Ocean Club,American (Traditional),4.338709677419355,37.67741935483871
Yellowtail,Japanese,3.5567567567567564,20.62162162162162
Japanese Curry Zen,Japanese,4.4,38.1
Diablo's Cantina,Mexican,2.9853658536585366,26.414634146341463
Le Thai,Thai,4.041666666666667,52.166666666666664
Cabo Wabo Cantina,Mexican,3.0406249999999995,32.96875
Bobby's Burger Palace,American (Traditional),3.7733333333333334,58.6
Leticia's Mexican Cocina,Mexican,3.9125,28.9375
Gangnam Asian BBQ Dining,Japanese,4.247368421052632,167.57894736842104
District One Kitchen & Bar,Vietnamese,4.133333333333334,66.26666666666667
Mr Mamas,American (Traditional),4.536363636363636,117.45454545454545
Mon Ami Gabi,French,4.131249999999999,145.375
Baguette Cafe,French,4.6812499999999995,30.9375
MGM Grand Buffet,American (Traditional),2.6545454545454543,21.863636363636363
Noodle Asia,Chinese,3.444444444444445,20.177777777777777
Giada,Italian,3.3999999999999995,151.71428571428572
Serendipity 3,American (Traditional),3.0333333333333328,118.57575757575758
Sakana,Japanese,4.235294117647059,58.470588235294116
Picasso,French,4.421276595744681,16.127659574468087
Grand Lux Cafe,American (Traditional),3.8357142857142867,40.30952380952381
Raku,Japanese,4.442105263157896,32.28947368421053
Omelet House,American (Traditional),4.246153846153847,22.512820512820515
Herbs & Rye,Italian,4.096875,32.25
BabyStacks Cafe,American (Traditional),4.098039215686274,42.254901960784316
Bouchon Bakery at the Venetian Casino,French,4.004651162790696,23.3953488372093
Olives,Mediterranean,3.879591836734693,34.02040816326531
Lindo Michoacan,Mexican,4.146511627906977,20.74418604651163
Hot N Juicy Crawfish,American (Traditional),4.1119047619047615,34.95238095238095
Sushi Roku,Japanese,3.921739130434782,22.0
Brio Tuscan Grille,Italian,3.81025641025641,25.333333333333332
Yard House,American (Traditional),3.9538461538461536,29.05128205128205
JJANGA Japanese Restaurant,Japanese,4.093333333333333,62.333333333333336
Chayo Mexican Kitchen + Tequila Bar,Mexican,3.166666666666666,66.86666666666666
Sushi Koma,Japanese,4.117391304347826,35.26086956521739
Mount Everest India's Cuisine,Indian,4.3235294117647065,31.352941176470587
Cafe Bellagio,American (Traditional),3.215909090909091,17.636363636363637
Bayside Buffet at Mandalay Bay,American (Traditional),2.9976744186046504,22.906976744186046
